CityState,city,state,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,lat,lng
"NEWARK, NJ",NEWARK,NJ,279904,68047,140348,1323,5100,99733,4676,55303,7134,8525,16419,5166,1010,954,79664,136797,25215,1640,657,32.22222222,30.45555556,33.66666667,30817.55556,16171.55556,924.2222222,221900.0,40.73333878,-74.18587222
"SCOTTSDALE, AZ",SCOTTSDALE,AZ,278928,243595,4362,6094,12830,26297,823,25995,3405,15915,67768,28599,10358,4687,25843,150807,8305,7713,2037,46.09090909,44.87272727,47.08181818,79999.81818,50977.45455,1318.545455,392481.8182,33.60471036,-111.8783983
"LINCOLN, NE",LINCOLN,NE,278037,240555,11886,1862,11885,18686,1445,31765,6350,18925,41103,14308,3307,4481,41028,158487,8227,6575,2334,37.34545455,34.83181818,37.22380952,70600.0,32617.18182,772.3125,198840.9091,40.82153445,-96.67837405
"MOBILE, AL",MOBILE,AL,275488,140003,123816,518,5125,8094,2538,45624,7065,13716,31281,11487,3060,2036,56741,128368,13048,3896,1226,36.57647059,34.38823529,38.28823529,37095.0625,21274.35294,756.8125,115212.5,30.68294137,-88.126104
"DURHAM, NC",DURHAM,NC,274553,138471,104601,1102,12643,38757,2561,27170,4359,11096,44108,23386,6581,8550,49254,148705,10563,8285,4649,34.8125,34.1,35.625,53585.125,32195.0,905.2857143,190237.5,35.98656363,-78.890389
"CHANDLER, AZ",CHANDLER,AZ,271238,212437,12247,4674,22860,59313,1932,28290,3859,16124,45478,21142,3163,3237,26499,143889,8381,10845,3520,38.88333333,38.05,39.66666667,75426.16667,34429.0,1243.833333,243033.3333,33.2675435,-111.8694467
"AKRON, OH",AKRON,OH,271029,188226,63614,876,8173,5071,1843,55240,7131,15901,29360,10370,3441,1920,56130,137996,14910,4114,1193,37.47058824,36.55882353,38.14705882,38487.0,22820.0,713.2941176,103312.5,41.07326394,-81.53535547
"LUBBOCK, TX",LUBBOCK,TX,266242,210813,19302,1997,5781,89927,2566,31196,8195,9438,27035,10306,2938,2572,51194,138605,8859,2807,1025,29.4,28.68571429,29.88571429,39852.84615,20006.21429,818.7692308,91607.69231,33.56452871,-101.8908045
"PENSACOLA, FL",PENSACOLA,FL,262897,176031,60725,978,8378,14347,1878,41366,7401,23226,28136,9735,2609,1585,40416,133390,11737,2928,1385,36.25384615,34.69230769,37.63333333,43363.09091,22346.61538,904.9090909,115850.0,30.44164369,-87.28237715
"MODESTO, CA",MODESTO,CA,262638,188423,8575,2167,17795,110327,5518,38908,6431,12349,18399,6123,2717,808,57833,120724,18826,2296,642,34.35714286,32.87142857,35.72857143,48933.0,21662.14286,1025.0,183457.1429,37.65866929,-120.9919304
"LAREDO, TX",LAREDO,TX,261922,246647,1037,924,1547,249655,5142,28914,5670,8740,16914,5574,1261,612,81957,104839,6313,1177,342,28.66666667,30.68333333,26.91666667,38735.8,13740.16667,793.0,101533.3333,27.5955425,-99.397328
"WINSTON SALEM, NC",WINSTON SALEM,NC,260560,157677,83346,473,5037,38072,2142,34683,6676,11570,33288,13611,4088,3062,59279,128192,13571,3756,1232,32.68888889,31.45555556,33.91111111,40627.85714,20743.55556,723.5714286,149757.1429,36.09190089,-80.26225611
"JERSEY CITY, NJ",JERSEY CITY,NJ,259517,91748,65088,992,65116,71803,2702,39357,4049,7713,47494,23137,4462,2992,49587,144358,13585,10299,2779,33.71428571,33.47142857,33.71428571,90533.71429,52611.85714,1673.714286,376050.0,40.72419086,-74.05708786
"KISSIMMEE, FL",KISSIMMEE,FL,257631,183982,36991,738,7236,141005,3128,46634,7856,15663,21885,6758,1119,1279,53808,121790,11875,1514,543,35.61428571,34.75714286,36.61428571,44471.0,19372.42857,1117.142857,150600.0,28.25470629,-81.436758
"SALEM, OR",SALEM,OR,255961,206915,3334,3110,6022,59511,2254,32738,10081,13283,26287,10608,2901,1619,43608,122883,12788,3393,1243,36.18571429,35.2,37.08571429,50899.57143,24237.85714,827.1428571,193928.5714,44.94981114,-123.019201
"CHULA VISTA, CA",CHULA VISTA,CA,252469,170380,12303,1071,36421,149158,3771,26750,5006,14808,29776,9755,2266,1060,32004,124965,12893,4224,1324,33.88,32.1,35.48,82441.2,27742.2,1726.2,397700.0,32.6325402,-116.9982696
"CORONA, CA",CORONA,CA,247481,163799,14154,1509,34057,104646,2808,34502,3159,13285,28885,11103,2406,1183,25897,123476,11648,4300,1184,34.72,34.08,35.38,82856.8,28680.6,1719.8,361220.0,33.8447742,-117.5459254
"SAVANNAH, GA",SAVANNAH,GA,247410,127655,103253,491,6295,15007,1242,33998,7297,10302,32289,13492,3451,2758,48039,125001,12353,2771,998,35.4,34.53636364,36.1,49605.9,26827.54545,1002.4,190900.0,32.04669018,-81.11880382
"LAKELAND, FL",LAKELAND,FL,245590,193565,36230,696,5321,34278,1848,49273,9422,15089,25457,9040,1754,1222,39790,112933,12185,2840,874,39.71111111,38.55555556,40.94444444,48066.33333,22775.33333,924.1111111,109633.3333,28.05126678,-81.95463867
"BOISE, ID",BOISE,ID,245577,220990,3335,1684,8686,18689,1212,27290,6232,14477,41047,15500,4064,2750,33095,134780,9532,8548,2307,36.78888889,35.46666667,37.96666667,55397.55556,31559.11111,865.8888889,205800.0,43.608246,-116.1984962
"NORFOLK, VA",NORFOLK,VA,245452,117396,103448,1182,8326,17782,1567,32704,7346,11665,23236,10986,2676,2074,46288,137506,12429,3828,1382,30.12142857,29.2,31.24285714,48325.53846,25665.21429,1033.692308,230216.6667,36.88641086,-76.27347007
"SAN BERNARDINO, CA",SAN BERNARDINO,CA,243816,134795,33779,2314,10356,155053,4976,31543,5269,8353,9490,3238,775,427,79220,99974,16845,1225,314,27.7,26.95714286,28.55714286,32605.28571,12404.0,922.8571429,154166.6667,34.136038,-117.3024506
"LAWRENCEVILLE, GA",LAWRENCEVILLE,GA,242850,114904,69223,1095,25710,55644,2873,32230,5472,13718,33534,10113,1736,1168,32407,126923,10905,6242,1534,35.15,34.5,35.675,58536.5,23318.25,1121.0,146575.0,33.951618,-83.9996545
"FAYETTEVILLE, NC",FAYETTEVILLE,NC,240836,117260,97415,2923,5986,24282,1828,32856,6519,16691,23763,10439,1929,1436,42969,119788,13329,2156,870,35.325,33.325,37.3125,42144.875,24024.875,797.25,134025.0,35.04570063,-78.91158037
"IRVINE, CA",IRVINE,CA,239465,118708,5305,533,96410,24271,1376,12257,1065,10350,58739,28507,8975,6856,28773,125441,8078,14214,4473,34.63333333,33.52222222,35.6,90224.88889,43295.22222,1873.0,678355.5556,33.68196144,-117.7920828
"SARASOTA, FL",SARASOTA,FL,238533,215488,13610,591,3960,26506,1422,45396,6430,14348,38986,17842,5642,3026,27249,113568,8645,2687,1153,52.10769231,50.59230769,53.48461538,56700.23077,37958.30769,1115.153846,258384.6154,27.31441469,-82.48524092
"JAMAICA, NY",JAMAICA,NY,238470,30833,118872,789,43204,49081,4146,31236,13379,12574,26446,11300,1929,899,40205,123156,15567,2361,770,36.28333333,34.3,34.81666667,53686.6,20011.66667,1254.0,390100.0,40.68196722,-73.82162233
"GILBERT, AZ",GILBERT,AZ,234543,196208,6621,2303,15614,37468,861,20692,3058,15413,39281,14718,2502,2136,14995,121135,6538,7861,1867,33.13333333,32.71666667,33.56666667,85199.16667,32048.5,1341.0,248766.6667,33.31161633,-111.7503708
"GARLAND, TX",GARLAND,TX,234385,120080,30690,1081,24634,96233,4369,30346,5885,9921,22370,6742,1025,817,40227,122537,11143,4371,1095,33.98,32.18,35.6,49976.2,21106.4,954.4,115620.0,32.9085708,-96.6343318
"BRADENTON, FL",BRADENTON,FL,234070,195131,23787,483,4264,39389,2163,42481,7251,14501,27322,12981,3532,1962,38657,104495,9213,2364,994,48.01,46.31,48.94,61552.2,32494.7,1163.1,211810.0,27.4549603,-82.5101721
"TRENTON, NJ",TRENTON,NJ,231320,138650,66415,285,8496,46364,2027,45314,5576,10489,24214,9961,1571,1211,32907,120558,13649,3446,1715,37.56923077,35.40769231,38.99230769,60671.69231,27793.38462,1161.384615,211327.2727,40.20570415,-74.71288031
"IRVING, TX",IRVING,TX,230813,127714,29209,990,38838,94442,2950,25909,4349,8362,31445,16122,2341,1455,34768,127437,8216,9185,2806,31.98333333,32.13333333,31.83333333,56430.5,31333.83333,941.6666667,201250.0,32.85842967,-96.967573
"CHESAPEAKE, VA",CHESAPEAKE,VA,230643,143623,68624,512,7563,11661,1010,33338,6940,14062,28571,13035,2245,1227,21734,120742,8538,5507,1656,35.95,34.31666667,37.45,65251.0,27983.66667,1191.333333,233916.6667,36.74698117,-76.29287433
"FONTANA, CA",FONTANA,CA,229770,112764,20214,1787,13171,160618,4335,32215,3198,8631,14296,4122,713,212,37524,111420,15018,1853,532,29.86666667,29.0,30.76666667,66502.0,19427.33333,1376.0,252266.6667,34.09449967,-117.466572
"SYRACUSE, NY",SYRACUSE,NY,229222,156587,45214,2083,11450,15244,2509,33043,7397,15236,22375,13164,2999,2513,52302,109172,10208,3267,1192,36.0,34.42,37.24,43758.66667,24120.66667,764.8666667,113166.6667,43.05162037,-76.15122781
"LAKE WORTH, FL",LAKE WORTH,FL,229021,170904,40844,600,5806,75088,4401,36450,5642,13373,25698,9235,2336,1168,40608,119138,12859,1877,638,39.51666667,38.93333333,40.16666667,56227.66667,26252.33333,1250.5,184233.3333,26.59994017,-80.12604317
"SHREVEPORT, LA",SHREVEPORT,LA,228754,102993,116300,792,3070,6332,1418,40551,6711,9002,23380,9347,3272,1693,49263,107011,7424,2151,793,36.55833333,34.56666667,38.23333333,40841.83333,24073.58333,755.9166667,121683.3333,32.44693358,-93.78129092
"FORT MYERS, FL",FORT MYERS,FL,228350,188789,23885,363,4530,38228,2996,41435,5719,13993,31484,12914,4611,2494,35313,104863,9371,1954,619,44.97272727,44.25454545,45.82727273,50805.3,28042.09091,974.2,159730.0,26.55792345,-81.83339091
"BOSTON, MA",BOSTON,MA,228030,159838,14750,761,26742,45569,3508,20667,2941,4626,45894,23967,10699,6269,41516,139602,9602,7700,4436,33.83333333,33.43333333,34.03333333,78658.2,68335.53333,1841.8,709850.0714,42.35353256,-71.06567556
"SPRINGFIELD, MO",SPRINGFIELD,MO,225928,203023,8493,1106,4721,7933,866,32275,7088,10214,28475,11275,2600,2329,45055,117892,8432,2765,1217,36.1,34.94285714,37.08571429,45970.0,26134.28571,703.4285714,134814.2857,37.18579486,-93.28749886
"FREMONT, CA",FREMONT,CA,225250,63107,7433,1244,121048,31238,2297,26844,2285,9833,43771,29910,3606,4934,13701,117715,7516,19616,6990,37.775,37.525,37.95,112710.25,42415.25,1835.5,675700.0,37.534247,-121.9871108
"AMARILLO, TX",AMARILLO,TX,225038,188862,14556,1317,7365,65152,1902,28066,9219,12095,21392,7378,1675,841,35237,111617,5354,2710,881,36.48571429,34.47857143,38.35714286,52223.85714,25583.5,795.7142857,124307.6923,35.2269624,-101.8410067
"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,NV,223889,116961,44644,1067,12530,89233,2679,35234,5652,11186,13639,5366,969,449,37273,108452,11697,1923,822,31.32857143,30.61428571,32.24285714,59089.71429,22538.85714,1228.857143,166014.2857,36.26433214,-115.1510449
"ARLINGTON, VA",ARLINGTON,VA,223446,160939,18800,1123,22274,34579,2943,12452,1503,6060,58013,43513,14506,7119,19976,148828,5419,12721,6439,35.06666667,34.85555556,35.3,121059.3333,67869.33333,1894.444444,607655.5556,38.8770944,-77.1028155
"FLUSHING, NY",FLUSHING,NY,219851,66701,9075,787,121809,32908,7145,42335,2886,16238,29215,12179,3043,1357,38735,107561,7624,3341,1113,40.925,38.95,42.55,51431.0,24923.5,1345.75,485700.0,40.7608195,-73.82843517
"BOCA RATON, FL",BOCA RATON,FL,218711,188686,10643,535,6519,31643,894,29609,3508,13230,45393,17663,8276,3332,20574,108616,8538,3712,1280,48.76666667,46.78888889,50.61111111,67504.88889,47347.55556,1557.222222,305344.4444,26.37301167,-80.14497133
"WILMINGTON, DE",WILMINGTON,DE,217910,143038,54567,351,8382,24213,1689,39805,4539,8832,31396,15587,4496,3547,29459,112897,8954,5222,2068,41.19,39.72,42.57,67644.0,41132.8,1037.2,277580.0,39.762169,-75.5677139
"OXNARD, CA",OXNARD,CA,216501,162957,6057,2831,16213,159762,5581,25406,2475,9369,15179,4112,1012,724,35554,111135,10739,2499,636,32.825,31.725,33.775,63588.0,23061.5,1427.25,360800.0,34.194054,-119.1783245
"OCALA, FL",OCALA,FL,216468,165650,37105,709,4116,30457,2000,45307,8397,15278,19100,6889,1977,985,38751,87860,10331,1180,382,43.98181818,42.59090909,45.54545455,39754.18182,21203.81818,825.4545455,108354.5455,29.15449727,-82.16031691
"LITTLE ROCK, AR",LITTLE ROCK,AR,215849,118160,83745,502,6187,12891,1265,31505,4832,7969,33305,12562,5407,3634,35779,111271,8875,3629,1822,38.99166667,37.65833333,41.0,55910.58333,37318.66667,799.75,185258.3333,34.73689533,-92.36469925
"DES MOINES, IA",DES MOINES,IA,215827,168881,23087,988,10762,26526,2320,35070,8643,13174,24119,6918,2164,1085,41143,116702,9317,3179,1398,33.18181818,32.52727273,34.36363636,45528.18182,25737.36364,754.9090909,125718.1818,41.59011192,-93.62535558
"SANTA ROSA, CA",SANTA ROSA,CA,214152,158137,4463,3384,9630,64496,3425,26037,4307,13446,28207,10480,4179,1850,26583,111810,9379,3710,1288,40.55,38.31666667,42.4,62501.5,32142.33333,1330.166667,406250.0,38.46296633,-122.7050028
"READING, PA",READING,PA,212856,157341,16296,2463,3617,66269,1873,41261,6695,10433,21055,9245,1855,1002,42575,107108,12052,2720,900,37.28,35.96,38.73,50771.7,25318.9,895.2,135210.0,40.3374053,-75.946113
"MONTGOMERY, AL",MONTGOMERY,AL,211405,77525,123310,491,4696,7372,1932,28551,7020,8800,25608,11372,2686,1734,48162,102116,9107,3015,1252,33.35384615,31.56153846,33.83076923,43252.75,21690.15385,863.0833333,103250.0,32.36012677,-86.28012931
"AURORA, IL",AURORA,IL,209444,117096,19878,819,14185,90670,2688,21793,4784,8358,24150,10011,1874,893,31810,109449,9276,5007,1213,32.54,32.24,32.82,77060.8,30956.6,1275.8,191340.0,41.756092,-88.2824102
"GREENVILLE, SC",GREENVILLE,SC,209294,143285,53377,465,4786,22729,2184,30439,5341,10248,27766,11251,3442,2005,42857,104935,9676,3790,1600,33.34444444,32.21111111,34.53333333,38815.25,21259.22222,690.375,159871.4286,34.86041389,-82.39168067
"PROVIDENCE, RI",PROVIDENCE,RI,204671,112488,31523,2051,12851,74917,3902,24399,4902,7236,19647,10242,3431,3609,51109,106105,12964,2948,1395,29.7,29.375,30.0125,40889.14286,22467.875,928.8571429,206800.0,41.82336075,-71.41859637
"AUGUSTA, GA",AUGUSTA,GA,203143,99304,91201,407,5235,8138,1416,32725,6877,10984,19559,7328,3104,2205,44172,96506,9582,2751,1034,32.9375,37.3125,32.05,47191.0,21770.75,831.6666667,118100.0,33.45404275,-82.05000613
"CHATTANOOGA, TN",CHATTANOOGA,TN,203112,128102,62948,416,4066,12889,1995,31267,6583,9164,23485,9636,2304,1401,42178,101770,9232,2813,1139,35.44666667,33.50666667,36.97333333,34833.6,21679.13333,699.0,150320.0,35.0452316,-85.2834748
"GAINESVILLE, FL",GAINESVILLE,FL,202971,136144,43215,544,13650,19743,1122,18372,4133,10957,25664,13771,5672,6974,51064,101410,8107,5034,2210,30.54,29.41,31.78,41481.11111,21466.1,869.0,166477.7778,29.6714232,-82.3579106
"WOODBRIDGE, VA",WOODBRIDGE,VA,202948,106430,54436,597,16771,52922,2315,26991,4283,9977,26530,14178,1843,871,14655,114601,7094,7205,2638,33.83333333,33.0,34.63333333,89987.0,35271.33333,1582.666667,280533.3333,38.65026933,-77.30987033
"BROWNSVILLE, TX",BROWNSVILLE,TX,201625,187948,862,404,1418,188875,5474,19830,5687,5980,13636,3364,1153,408,70391,80978,8486,627,112,30.16666667,27.6,32.36666667,36132.66667,14753.66667,653.3333333,83366.66667,25.96540967,-97.43724533
"MORENO VALLEY, CA",MORENO VALLEY,CA,201141,100796,35456,1533,11768,113520,3857,28985,3156,9570,11853,3960,889,466,38652,94657,13270,1379,491,30.15,29.15,31.075,58066.75,18717.25,1343.0,207625.0,33.91699575,-117.2103878
"OCEANSIDE, CA",OCEANSIDE,CA,197853,138227,11477,1547,13190,66391,2325,25511,2267,14426,21764,7948,2040,968,26261,98070,7752,3839,921,33.3,31.6,35.375,55656.75,25536.5,1524.75,358650.0,33.24870825,-117.3130283
"WHITTIER, CA",WHITTIER,CA,197162,110576,2143,1812,8859,144421,3329,31178,3163,10204,16273,6516,1384,583,23507,97439,7663,2578,855,35.51666667,33.98333333,36.93333333,67329.5,25439.5,1308.833333,404200.0,33.9635725,-118.0245998
"HUNTINGTON BEACH, CA",HUNTINGTON BEACH,CA,197063,150644,2013,936,21752,38141,1301,21375,2142,13773,36983,14867,4595,1977,18441,108970,7913,5248,1296,41.525,40.9,42.125,84060.25,44324.25,1657.5,668300.0,33.697382,-118.0108333
"WILMINGTON, NC",WILMINGTON,NC,195782,158170,28604,665,2923,10605,717,24233,4510,12743,32560,11305,2805,2099,34790,105280,9598,3093,1145,37.91666667,36.46666667,39.41666667,51089.33333,29560.66667,966.1666667,207100.0,34.226284,-77.88207217
"HUNTSVILLE, AL",HUNTSVILLE,AL,195703,121562,60279,760,4815,11418,908,22021,6119,10508,30275,14911,1872,2466,33730,101613,9857,8246,2561,34.44545455,33.58181818,35.69090909,53958.1,27555.72727,824.2,163744.4444,34.70892718,-86.613919
"EUGENE, OR",EUGENE,OR,195634,168084,3038,1847,7243,16371,711,20612,4595,10005,27372,12992,3401,3526,41951,99484,9269,2957,1423,35.61666667,34.38333333,37.2,46165.16667,27504.66667,939.3333333,256200.0,44.05659233,-123.1247162
"BEAVERTON, OR",BEAVERTON,OR,195088,140032,5516,1848,21135,37410,2156,21379,4473,11589,34485,12128,1966,1847,28681,107014,9312,8907,2330,34.875,33.675,35.875,58117.5,28254.75,1041.5,257275.0,45.48060725,-122.836805
"OGDEN, UT",OGDEN,UT,192698,169905,2208,1395,2053,35300,1062,29289,4246,10057,18716,6643,1004,948,25782,95046,6156,3659,991,31.86,31.12,32.84,55974.4,24016.8,806.6,176940.0,41.235047,-111.9967456
"HENRICO, VA",HENRICO,VA,191675,121463,48928,297,12753,12025,1485,24468,4064,8340,34253,14587,4006,2028,21818,107561,7662,5337,2037,37.31428571,35.51428571,39.41428571,61350.14286,32960.0,1034.714286,218514.2857,37.58382757,-77.50134929
"PORT SAINT LUCIE, FL",PORT SAINT LUCIE,FL,189984,142253,29964,552,4288,37592,2257,36578,6935,14707,18410,7274,1632,604,28055,88316,10922,1428,340,43.78333333,42.43333333,45.11666667,52708.33333,25249.16667,1194.5,147683.3333,27.28854067,-80.376924
"CHARLESTON, SC",CHARLESTON,SC,187746,129784,50257,222,2477,10075,945,22613,3165,10010,34816,12548,4208,2780,33070,103983,7878,4294,1807,29.34,29.0,30.08,62499.125,24819.1,1084.25,354100.0,32.8332999,-79.9830239
"HAYWARD, CA",HAYWARD,CA,186993,80373,22110,1201,42659,77708,3892,29896,3103,9091,22005,6078,969,1129,26017,98962,10116,4051,1072,34.975,35.075,35.1,72429.75,29122.0,1419.0,410125.0,37.64338825,-122.076509
"ERIE, PA",ERIE,PA,186791,156255,17948,646,3516,8996,1263,42015,5511,10318,21947,8686,1974,1262,33230,93405,7899,2559,946,36.26923077,34.61538462,37.85384615,40476.81818,19806.46154,679.8181818,103800.0,42.11191308,-80.06092323
"SALINAS, CA",SALINAS,CA,185894,134689,2408,1321,11985,129333,4139,21263,3772,8942,11582,3445,1223,857,33423,87218,7400,1224,437,36.34,35.94,36.96,66219.8,27775.8,1277.8,368560.0,36.6925086,-121.6261014
"FORT COLLINS, CO",FORT COLLINS,CO,185863,166555,2216,1186,4898,21530,484,13726,3218,9247,34375,15540,3016,4252,30673,105956,7304,7388,2320,32.26,31.5,33.16,61287.6,31568.0,1104.2,280500.0,40.5569494,-105.0682866
"ROCKFORD, IL",ROCKFORD,IL,185167,130789,33892,614,5523,29432,2398,31536,7604,9819,16163,7559,1729,865,39777,90192,12326,2474,514,44.08888889,40.31111111,45.53333333,42747.0,29959.55556,988.6666667,96912.5,42.27217133,-89.05562833
"EVANSVILLE, IN",EVANSVILLE,IN,184810,159586,16540,372,1942,4486,902,36516,6207,10258,19525,8019,1422,993,29306,93584,5775,2797,877,39.35555556,38.27777778,40.05555556,44037.66667,25506.88889,738.3333333,128255.5556,37.99940989,-87.56421911
"WORCESTER, MA",WORCESTER,MA,184045,130157,23696,530,13148,38141,2409,30892,4252,9579,21821,9015,2059,2055,38682,93658,9264,3392,1546,33.56666667,32.74444444,34.57777778,43788.11111,23652.55556,930.2222222,187700.0,42.265702,-71.80827744
"LANCASTER, CA",LANCASTER,CA,183664,120796,35404,818,7046,69458,2213,30075,3616,10112,10723,4750,813,541,41101,71663,8016,2278,675,32.83333333,31.1,34.66666667,48739.0,19188.0,1092.0,163633.3333,34.72477933,-118.128943
"GRAND PRAIRIE, TX",GRAND PRAIRIE,TX,182979,115262,41046,676,10752,80196,2046,24509,5093,8134,18835,5845,799,639,26860,97918,7331,3011,1184,32.3,31.55,32.95,66999.5,25443.75,1103.5,148050.0,32.689668,-97.0164525
"GREEN BAY, WI",GREEN BAY,WI,182157,153128,5188,4417,6573,18099,1764,33059,5070,13465,23473,6713,1482,675,24297,97917,6257,2919,848,35.54285714,34.44285714,37.7,50705.16667,26268.33333,706.5,143816.6667,44.507707,-88.02182814
"ALPHARETTA, GA",ALPHARETTA,GA,182149,127852,19115,462,27134,15409,668,12159,1306,8067,46720,19980,3788,2337,9629,95199,5432,8362,2540,37.5,36.325,39.05,95150.5,45076.5,1206.5,319875.0,34.0859035,-84.2635
"YONKERS, NY",YONKERS,NY,180081,100419,33190,488,12522,68102,2835,30057,3971,9255,20616,11196,2097,886,31798,88362,8126,2251,807,38.04,36.88,39.26,59704.8,29050.2,1255.4,380620.0,40.942368,-73.8719382
"COLUMBUS, GA",COLUMBUS,GA,179380,77635,86195,538,3888,11700,1842,26158,6740,9978,16889,7024,2087,1207,38063,85574,9041,2089,706,34.71666667,33.18333333,36.23333333,35968.66667,22096.5,758.1666667,123750.0,32.48879233,-84.9533825
